Catcher,Pitcher,Hitter,Pitch type,Thrown strike? (Don't count swings at balls),Swing?,Balls before pitch,Strikes before pitch,Outs,1B occupied?,2B occupied,3B occupied,
,,Dom,4-seam fastball,TRUE,TRUE,3,1,1,FALSE,FALSE,FALSE,
,,Horn,Changeup,TRUE,FALSE,0,0,2,FALSE,FALSE,FALSE,
,,Horn,4-seam fastball,FALSE,FALSE,0,1,2,FALSE,FALSE,FALSE,
,,Horn,4-seam fastball,TRUE,TRUE,1,1,2,FALSE,FALSE,FALSE,
,,Horn,Changeup,FALSE,FALSE,1,2,2,FALSE,FALSE,FALSE,
,,Horn,4-seam fastball,FALSE,FALSE,2,2,2,FALSE,FALSE,FALSE,
,,Horn,4-seam fastball,FALSE,FALSE,3,2,2,FALSE,FALSE,FALSE,
,,Dex,Slider,FALSE,FALSE,0,0,2,TRUE,FALSE,FALSE,
,,Dex,4-seam fastball,TRUE,TRUE,1,0,2,TRUE,FALSE,FALSE,
,,Dex,4-seam fastball,TRUE,TRUE,1,1,2,TRUE,FALSE,FALSE,
,,Dex,Changeup,FALSE,FALSE,1,2,2,TRUE,FALSE,FALSE,
,,Dex,4-seam fastball,TRUE,FALSE,2,2,2,TRUE,FALSE,FALSE,
Dame,Patrick,B.Burton,4-seam fastball,TRUE,TRUE,0,0,0,FALSE,FALSE,FALSE,
,,B.Burton,Curveball,FALSE,FALSE,0,1,0,FALSE,FALSE,FALSE,
,,B.Burton,4-seam fastball,FALSE,FALSE,1,1,0,FALSE,FALSE,FALSE,
,,B.Burton,4-seam fastball,FALSE,FALSE,2,1,0,FALSE,FALSE,FALSE,
,,B.Burton,4-seam fastball,TRUE,TRUE,3,1,0,FALSE,FALSE,FALSE,
,,B.Burton,4-seam fastball,FALSE,FALSE,3,2,0,FALSE,FALSE,FALSE,bb
,,Jax,4-seam fastball,TRUE,TRUE,0,0,0,TRUE,FALSE,FALSE,
,,Parker,4-seam fastball,FALSE,FALSE,0,0,2,FALSE,FALSE,FALSE,
,,Parker,4-seam fastball,TRUE,TRUE,1,0,2,FALSE,FALSE,FALSE,
